Category,Annual Mean,5-yr smooth
1901,27.34,27.23
1902,27.16,27.21
1903,27.12,27.18
1904,27.09,27.15
1905,27.06,27.12
1906,27.13,27.08
1907,27.02,27.03
1908,27.13,26.98
1909,26.98,26.93
1910,26.77,26.88
1911,26.91,26.83
1912,26.64,26.79
1913,26.49,26.76
1914,27.08,26.73
1915,27.04,26.72
1916,26.37,26.71
1917,26.46,26.71
1918,26.75,26.72
1919,27.34,26.75
1920,26.34,26.78
1921,26.86,26.83
1922,26.81,26.9
1923,26.89,26.98
1924,27.29,27.06
1925,27.05,27.14
1926,27.19,27.2
1927,27.38,27.23
1928,27.61,27.22
1929,26.78,27.18
1930,26.7,27.12
1931,27.17,27.07
1932,27.02,27.05
1933,27.54,27.08
1934,27.11,27.15
1935,27.17,27.25
1936,27.36,27.34
1937,27.27,27.41
1938,27.32,27.42
1939,27.39,27.36
1940,27.35,27.25
1941,27.21,27.12
1942,27.13,26.97
1943,26.59,26.83
1944,26.71,26.71
1945,26.55,26.63
1946,26.56,26.56
1947,26.71,26.52
1948,26.44,26.5
1949,26.46,26.5
1950,26.28,26.51
1951,26.49,26.53
1952,26.99,26.56
1953,26.68,26.59
1954,26.64,26.64
1955,26.56,26.69
1956,26.34,26.73
1957,26.66,26.76
1958,27.12,26.77
1959,26.78,26.76
1960,26.95,26.71
1961,26.36,26.65
1962,26.5,26.59
1963,26.73,26.54
1964,26.37,26.52
1965,26.69,26.53
1966,26.75,26.57
1967,26.33,26.63
1968,26.45,26.7
1969,27.13,26.77
1970,26.89,26.81
1971,26.51,26.84
1972,26.91,26.86
1973,27.26,26.88
1974,26.76,26.92
1975,26.89,26.98
1976,27.12,27.06
1977,27.05,27.16
1978,27.24,27.27
1979,27.38,27.39
1980,27.59,27.5
1981,27.7,27.61
1982,27.61,27.71
1983,27.79,27.78
1984,27.9,27.82
1985,27.63,27.83
1986,27.76,27.79
1987,28.06,27.72
1988,27.6,27.63
1989,26.97,27.54
1990,27.97,27.47
1991,27.61,27.43
1992,27.1,27.41
1993,27.57,27.43
1994,27.22,27.46
1995,27.5,27.5
1996,27.53,27.54
1997,27.82,27.59
1998,27.83,27.64
1999,27.31,27.7
2000,27.84,27.79
2001,27.9,27.91
2002,28.27,28.06
2003,28.19,28.23
2004,28.38,28.39
2005,28.53,28.52
2006,28.32,28.61
2007,28.47,28.64
2008,28.5,28.61
2009,29.15,28.53
2010,28.88,28.43
2011,28.16,28.32
2012,27.76,28.22
2013,28.09,28.13
2014,27.79,28.05
2015,28.1,27.99
2016,28.21,27.93
2017,27.91,27.87
2018,27.71,27.82
2019,27.83,27.77
2020,27.54,27.73
2021,27.9,27.68
2022,27.55,27.64
