"Category","Annual Mean","5-yr smooth"
1901,27.34,27.24
1902,27.16,27.21
1903,27.12,27.18
1904,27.09,27.15
1905,27.06,27.11
1906,27.13,27.07
1907,27.02,27.03
1908,27.13,26.99
1909,26.98,26.95
1910,26.81,26.9
1911,26.93,26.86
1912,26.69,26.82
1913,26.54,26.79
1914,27.09,26.77
1915,27.07,26.75
1916,26.44,26.74
1917,26.52,26.74
1918,26.79,26.75
1919,27.33,26.78
1920,26.39,26.81
1921,26.88,26.85
1922,26.82,26.91
1923,26.9,26.98
1924,27.28,27.06
1925,27.06,27.13
1926,27.19,27.19
1927,27.37,27.22
1928,27.59,27.22
1929,26.8,27.18
1930,26.73,27.14
1931,27.18,27.09
1932,27.03,27.07
1933,27.51,27.08
1934,27.11,27.14
1935,27.16,27.23
1936,27.34,27.32
1937,27.25,27.38
1938,27.3,27.4
1939,27.37,27.35
1940,27.35,27.25
1941,27.17,27.1
1942,27.1,26.94
1943,26.54,26.79
1944,26.67,26.66
1945,26.51,26.56
1946,26.46,26.48
1947,26.62,26.43
1948,26.38,26.4
1949,26.35,26.39
1950,26.2,26.38
1951,26.27,26.39
1952,26.79,26.4
1953,26.45,26.43
1954,26.49,26.47
1955,26.48,26.51
1956,26.2,26.56
1957,26.51,26.6
1958,27.02,26.62
1959,26.59,26.62
1960,26.85,26.59
1961,26.14,26.53
1962,26.38,26.47
1963,26.65,26.41
1964,26.17,26.38
1965,26.54,26.38
1966,26.67,26.42
1967,26.2,26.5
1968,26.36,26.59
1969,27.11,26.68
1970,26.79,26.75
1971,26.41,26.8
1972,26.81,26.84
1973,27.23,26.87
1974,26.8,26.91
1975,26.96,26.97
1976,27.17,27.06
1977,27.03,27.18
1978,27.25,27.31
1979,27.48,27.46
1980,27.64,27.59
1981,27.85,27.72
1982,27.71,27.83
1983,27.83,27.91
1984,28.11,27.95
1985,27.84,27.96
1986,27.84,27.92
1987,28.2,27.83
1988,27.63,27.71
1989,26.89,27.59
1990,28.06,27.48
1991,27.59,27.39
1992,27.03,27.36
1993,27.57,27.37
1994,27.21,27.41
1995,27.43,27.47
1996,27.53,27.55
1997,27.84,27.62
1998,27.78,27.69
1999,27.46,27.76
2000,27.89,27.85
2001,27.92,27.96
2002,28.3,28.09
2003,28.25,28.26
2004,28.49,28.42
2005,28.63,28.58
2006,28.37,28.7
2007,28.51,28.76
2008,28.62,28.74
2009,29.22,28.67
2010,29.07,28.56
2011,28.18,28.42
2012,27.86,28.28
2013,28.13,28.17
2014,27.81,28.08
2015,28.18,28.01
2016,28.34,27.96
2017,28.04,27.92
2018,27.79,27.89
2019,27.91,27.87
2020,27.54,27.85
2021,27.92,27.83
2022,27.54,27.82
2023,28.1,27.81
